Year,Month,Adajan,Vesu,Pal,Katargam,Varachha,Dumas
2000,1,1203,1505,1292,1041,1079,1822
2000,2,1192,1520,1325,1034,1120,1827
2000,3,1253,1504,1344,1010,1092,1847
2000,4,1241,1527,1355,980,1109,1863
2000,5,1187,1538,1331,1036,1164,1802
2000,6,1264,1560,1336,1033,1168,1833
2000,7,1246,1573,1322,1074,1154,1874
2000,8,1260,1551,1379,1067,1112,1823
2000,9,1274,1549,1345,993,1131,1866
2000,10,1253,1547,1311,1009,1132,1908
2000,11,1240,1555,1315,1014,1152,1920
2000,12,1282,1536,1365,1011,1135,1894
2001,1,1228,1617,1326,1009,1128,1904
2001,2,1298,1536,1362,1087,1145,1930
2001,3,1318,1573,1402,1012,1200,1948
2001,4,1268,1611,1431,1093,1137,1960
2001,5,1241,1607,1411,1045,1133,1973
2001,6,1335,1613,1367,1061,1229,1905
2001,7,1297,1598,1444,1074,1180,1920
2001,8,1315,1657,1358,1071,1191,1945
2001,9,1307,1631,1447,1115,1201,1952
2001,10,1270,1650,1456,1087,1197,1933
2001,11,1311,1612,1424,1078,1202,1937
2001,12,1342,1666,1446,1093,1256,2010
2002,1,1302,1646,1464,1145,1193,1965
2002,2,1377,1619,1437,1149,1213,1965
2002,3,1347,1701,1406,1104,1196,1955
2002,4,1338,1661,1426,1132,1278,1990
2002,5,1390,1639,1487,1168,1253,2022
2002,6,1340,1654,1432,1087,1200,1995
2002,7,1340,1695,1488,1097,1219,2078
2002,8,1378,1688,1484,1172,1247,2093
2002,9,1342,1755,1511,1169,1300,2079
2002,10,1355,1730,1500,1147,1295,2020
2002,11,1352,1745,1505,1161,1308,2040
2002,12,1339,1714,1480,1108,1254,2076
2003,1,1377,1755,1550,1164,1303,2042
2003,2,1444,1727,1520,1167,1320,2114
2003,3,1413,1739,1545,1194,1297,2070
2003,4,1443,1768,1547,1204,1260,2071
2003,5,1434,1750,1515,1135,1279,2121
2003,6,1462,1767,1496,1183,1286,2146
2003,7,1377,1736,1589,1153,1265,2122
2003,8,1395,1770,1501,1221,1321,2167
2003,9,1395,1839,1579,1163,1359,2142
2003,10,1474,1769,1543,1249,1364,2113
2003,11,1440,1780,1546,1204,1315,2146
