Year,Month,Adajan,Vesu,Pal,Katargam,Varachha,Dumas
2000,1,1041,1079,1203,1292,1505,1822
2000,2,1034,1120,1192,1325,1520,1827
2000,3,1010,1092,1253,1344,1504,1847
2000,4,980,1109,1241,1355,1527,1863
2000,5,1036,1164,1187,1331,1538,1802
2000,6,1033,1168,1264,1336,1560,1833
2000,7,1074,1154,1246,1322,1573,1874
2000,8,1067,1112,1260,1379,1551,1823
2000,9,993,1131,1274,1345,1549,1866
2000,10,1009,1132,1253,1311,1547,1908
2000,11,1014,1152,1240,1315,1555,1920
2000,12,1011,1135,1282,1365,1536,1894
2001,1,1009,1128,1228,1326,1617,1904
2001,2,1087,1145,1298,1362,1536,1930
2001,3,1012,1200,1318,1402,1573,1948
2001,4,1093,1137,1268,1431,1611,1960
2001,5,1045,1133,1241,1411,1607,1973
2001,6,1061,1229,1335,1367,1613,1905
2001,7,1074,1180,1297,1444,1598,1920
2001,8,1071,1191,1315,1358,1657,1945
2001,9,1115,1201,1307,1447,1631,1952
2001,10,1087,1197,1270,1456,1650,1933
2001,11,1078,1202,1311,1424,1612,1937
2001,12,1093,1256,1342,1446,1666,2010
2002,1,1145,1193,1302,1464,1646,1965
2002,2,1149,1213,1377,1437,1619,1965
2002,3,1104,1196,1347,1406,1701,1955
2002,4,1132,1278,1338,1426,1661,1990
2002,5,1168,1253,1390,1487,1639,2022
2002,6,1087,1200,1340,1432,1654,1995
2002,7,1097,1219,1340,1488,1695,2078
2002,8,1172,1247,1378,1484,1688,2093
2002,9,1169,1300,1342,1511,1755,2079
2002,10,1147,1295,1355,1500,1730,2020
2002,11,1161,1308,1352,1505,1745,2040
2002,12,1108,1254,1339,1480,1714,2076
2003,1,1164,1303,1377,1550,1755,2042
2003,2,1167,1320,1444,1520,1727,2114
2003,3,1194,1297,1413,1545,1739,2070
2003,4,1204,1260,1443,1547,1768,2071
2003,5,1135,1279,1434,1515,1750,2121
2003,6,1183,1286,1462,1496,1767,2146
2003,7,1153,1265,1377,1589,1736,2122
2003,8,1221,1321,1395,1501,1770,2167
2003,9,1163,1359,1395,1579,1839,2142
2003,10,1249,1364,1474,1543,1769,2113
2003,11,1204,1315,1440,1546,1780,2146
2003,12,1192,1283,1500,1538,1844,2142
2004,1,1261,1287,1473,1552,1833,2215
2004,2,1205,1382,1503,1597,1815,2231
2004,3,1258,1347,1477,1570,1804,2216
2004,4,1267,1322,1453,1552,1856,2214
2004,5,1270,1315,1525,1649,1864,2244
2004,6,1230,1382,1454,1562,1870,2207
2004,7,1204,1340,1503,1654,1907,2193
2004,8,1299,1401,1450,1644,1851,2204
2004,9,1292,1371,1478,1638,1833,2303
2004,10,1276,1351,1484,1669,1852,2236
2004,11,1223,1431,1534,1645,1892,2318
2004,12,1226,1376,1571,1648,1886,2300
2005,1,1276,1398,1574,1642,1954,2342
2005,2,1263,1393,1528,1641,1968,2314
2005,3,1316,1370,1590,1643,1938,2359
2005,4,1308,1444,1499,1631,1889,2318
2005,5,1301,1382,1548,1728,1908,2301
2005,6,1292,1413,1549,1674,1977,2378
2005,7,1325,1472,1540,1703,1912,2391
2005,8,1336,1486,1576,1718,1953,2373
2005,9,1306,1400,1578,1700,1950,2406
2005,10,1361,1453,1584,1685,1955,2391
2005,11,1326,1460,1568,1717,2015,2431
2005,12,1380,1474,1604,1781,1974,2350
2006,1,1365,1517,1623,1759,1998,2419
2006,2,1336,1511,1570,1724,2027,2440
2006,3,1315,1497,1618,1719,2071,2382
2006,4,1394,1524,1647,1739,2066,2448
2006,5,1401,1458,1672,1722,2059,2457
2006,6,1374,1479,1676,1764,2022,2473
2006,7,1391,1481,1598,1822,2072,2443
2006,8,1371,1510,1668,1789,2021,2502
2006,9,1385,1489,1609,1785,2070,2533
2006,10,1423,1482,1672,1839,2114,2506
2006,11,1361,1565,1628,1778,2059,2472
2006,12,1368,1516,1702,1859,2068,2533
2007,1,1400,1504,1651,1851,2115,2570
2007,2,1388,1536,1654,1872,2066,2504
2007,3,1456,1596,1728,1828,2103,2570
2007,4,1424,1557,1666,1835,2175,2568
2007,5,1460,1578,1749,1811,2144,2583
2007,6,1476,1598,1692,1904,2137,2546
2007,7,1435,1554,1727,1857,2149,2596
2007,8,1432,1621,1768,1834,2187,2587
2007,9,1424,1582,1739,1840,2126,2630
2007,10,1446,1571,1716,1937,2138,2588
2007,11,1451,1589,1761,1864,2223,2676
2007,12,1427,1585,1781,1956,2208,2623
2008,1,1490,1630,1797,1895,2195,2612
2008,2,1516,1649,1818,1919,2250,2704
2008,3,1512,1669,1742,1903,2262,2702
2008,4,1489,1645,1749,1986,2222,2638
2008,5,1493,1686,1745,1975,2232,2704
2008,6,1455,1700,1781,1932,2250,2668
2008,7,1513,1641,1786,1950,2287,2713
2008,8,1514,1677,1790,1987,2313,2722
2008,9,1510,1667,1798,1989,2303,2700
2008,10,1484,1728,1836,2033,2339,2759
2008,11,1555,1674,1809,1968,2311,2793
2008,12,1574,1690,1830,2048,2312,2740
2009,1,1587,1729,1846,2049,2314,2789
2009,2,1586,1689,1814,2063,2321,2831
2009,3,1517,1665,1859,2059,2302,2822
2009,4,1522,1743,1866,1991,2360,2781
